SKU,Design (Desen),Colour (Renk),Width (Genişlik),Appearance (Görünüm),Composition (Bileşim),Description (Açıklama),Price (Fiyat)
STN-001,SATEN,BEYAZ,320,,,,150
STN-002,SATEN,KREM,320,,,,150
TUL-001,BORNOVA,BEYAZ,320,,,,460
TUL-002,BORNOVA,NATUREL,320,,,,460
TUL-003,BORNOVA,KREM,320,,,,460
TUL-004,BORNOVA,VİZON,320,,,,460
TUL-005,BORNOVA,A.GRİ,320,,,,460
TUL-006,PALU,800 BEYAZ,300,,,,500
TUL-007,PALU,A-21,300,,,,500
TUL-008,PALU,75 KREM,300,,,,500
TUL-009,PALU,1013,300,,,,500
TUL-010,PALU,GRİ,300,,,,500
TUL-011,BAMBU ŞANTUK,ARPE,300,,,,220
TUL-012,TTM,ARPE,300,,,,220
BLK-001,DARK BLACKOUT,8103,320,,,,1040
BLK-002,DARK BLACKOUT,8104,320,,,,1040
BLK-003,DARK BLACKOUT,8108,320,,,,1040
BLK-004,DARK BLACKOUT,8107,320,,,,1040
BLK-005,DARK BLACKOUT,8115,320,,,,1040
BLK-006,DARK BLACKOUT,8116,320,,,,1040
BLK-007,DARK BLACKOUT,8110,320,,,,1040
BLK-008,DARK BLACKOUT,8101,320,,,,1040
BLK-009,DARK BLACKOUT,8111,320,,,,1040
BLK-010,DARK BLACKOUT,8113,320,,,,1040
BLK-011,DARK BLACKOUT,8114,320,,,,1040
BLK-012,DARK BLACKOUT,8128,320,,,,1040
BLK-013,DARK BLACKOUT,8140,320,,,,1040
BLK-014,DARK BLACKOUT,8117,320,,,,1040
BLK-015,DARK BLACKOUT,8131,320,,,,1040
BLK-016,DARK BLACKOUT,8132,320,,,,1040
BLK-017,DARK BLACKOUT,8138,320,,,,1040
BLK-018,DARK BLACKOUT,8142,320,,,,1040
BLK-019,DARK BLACKOUT,8141,320,,,,1040
BLK-020,DARK BLACKOUT,8129,320,,,,1040
BLK-021,DARK BLACKOUT,8127,320,,,,1040
BLK-022,DARK BLACKOUT,8139,320,,,,1040
BLK-023,DARK BLACKOUT,8112,320,,,,1040
BLK-024,DARK BLACKOUT,8124,320,,,,1040
BLK-025,DARK BLACKOUT,8118,320,,,,1040
BLK-026,DARK BLACKOUT,8119,320,,,,1040
BLK-027,DARK BLACKOUT,8120,320,,,,1040
BLK-028,DARK BLACKOUT,8136,320,,,,1040
